"","scores_adabag","scores_svm","scores_rf"
"1",0.5,0.5,0.5
"2",0.5,0.5,0.5
"3",1,1,1
"4",0.5,0.5,0.5
"5",0.5,1,1
"6",1,1,0.5
"7",0.5,1,1
"8",0.5,1,1
"9",0.5,0.5,0.5
"10",0.5,0.5,0.5
"11",0.5,0.5,0.5
"12",0.5,0.5,0.5
"13",0.5,0.5,0.5
"14",0.5,0.5,0.5
"15",1,1,1
"16",0.5,0.5,0.5
"17",0.5,0.5,0.5
"18",0.5,0.5,0.5
"19",0.5,0.5,0.5
"20",0.5,0.5,0.5
"21",0.5,0.5,0.5
"22",0.5,0.5,0.5
"23",0.5,0.5,0.5
"24",0.5,0.5,0.5
"25",0.5,0.5,0.5
"26",0.5,0.5,0.5
"27",0.5,0.5,0.5
"28",0.5,0.5,0.5
"29",0.5,0.5,0.5
"30",0.5,0.5,0.5
"31",0.5,0.5,0.5
"32",0.5,0.5,0.5
"33",0.5,0.5,0.5
"34",0.5,0.5,0.5
"35",0.5,0.5,0.5
"36",0.5,0.5,0.5
"37",0.5,0.5,0.5
"38",0,0,0.5
"39",0.5,0.5,0.5
"40",0.5,0.5,0.5
"41",1,1,1
"42",0.5,0.5,0.5
"43",1,1,1
"44",0.5,0.5,0.5
"45",0.5,1,1
"46",0.5,0,0
"47",0.5,0.5,0.5
"48",0.5,0.5,0.5
"49",0.5,0.5,0.5
"50",0.5,0.5,0.5
"51",1,1,1
"52",0.5,0.5,0.5
"53",0.5,0.5,0.5
"54",1,1,1
"55",0.5,0.5,0.5
"56",0.5,0.5,0.5
"57",0.5,0.5,0.5
"58",0.5,0.5,0.5
"59",0.5,0.5,0.5
"60",0.5,1,0.5
"61",0.5,0.5,0.5
"62",1,1,1
"63",0.5,0.5,0.5
"64",0.5,0.5,0.5
"65",0.5,1,0.5
"66",0.5,0.5,0.5
"67",0.5,0.5,0.5
"68",0.5,0.5,0.5
"69",0.5,0.5,0.5
"70",0.5,0.5,0.5
"71",0.5,0.5,0.5
"72",0.5,0.5,0.5
"73",1,1,1
"74",1,1,1
"75",0.5,0.5,0.5
"76",0.5,0.5,0.5
"77",0.5,0.5,0.5
"78",1,1,1
"79",1,1,1
"80",0.5,0.5,0.5
"81",0.5,0.5,0.5
"82",1,1,1
"83",0.5,0.5,0.5
"84",1,1,1
"85",0.5,0.5,0.5
"86",0.5,0.5,0.5
"87",0,0,0
"88",0.5,0.5,0.5
"89",0.5,0.5,0.5
"90",0.5,0.5,0.5
"91",0.5,0.5,0.5
"92",1,1,1
"93",0.5,0.5,0.5
"94",0.5,0.5,0.5
"95",1,1,1
"96",0.5,0.5,0.5
"97",0.5,0.5,0.5
"98",0.5,0.5,0.5
"99",0.5,0.5,0.5
"100",1,0.5,1
"101",0.5,0.5,0.5
"102",0.5,0.5,0.5
"103",0.5,1,1
"104",0.5,0.5,0.5
"105",0.5,0.5,0.5
"106",0.5,0.5,0.5
"107",0.5,0.5,0.5
"108",0.5,0.5,0.5
"109",0.5,0.5,0.5
"110",0.5,0.5,0.5
"111",0.5,0.5,0.5
"112",0.5,0.5,0.5
"113",1,1,1
"114",0.5,0.5,0.5
"115",0.5,0.5,0.5
"116",0.5,0.5,0.5
"117",1,1,1
"118",0.5,0.5,0.5
"119",1,1,1
"120",0.5,0.5,0.5
"121",0.5,0.5,0.5
"122",0.5,0.5,0.5
"123",0.5,0.5,0.5
"124",0.5,0.5,0.5
"125",1,1,1
"126",0.5,0,0.5
"127",0.5,0.5,0.5
"128",1,0.5,1
"129",0.5,0.5,0.5
"130",0.5,0.5,0.5
"131",0.5,0.5,0.5
"132",0.5,0.5,0.5
"133",0.5,0.5,0.5
"134",1,1,1
"135",0.5,0.5,0.5
"136",0.5,0.5,0.5
"137",0.5,0.5,0.5
"138",0.5,0.5,0.5
"139",0.5,0.5,0.5
"140",0.5,0.5,0.5
"141",1,1,1
"142",0.5,0.5,0.5
"143",0.5,0.5,0.5
"144",0.5,0.5,0.5
"145",0.5,0.5,0.5
"146",0.5,0.5,0.5
"147",0.5,0.5,0.5
"148",0,0.5,0.5
"149",0.5,0.5,0.5
"150",0.5,0.5,0.5
"151",0.5,0.5,0.5
"152",1,1,1
"153",0.5,0.5,0.5
"154",0.5,0.5,0.5
"155",0.5,0.5,0.5
"156",0.5,0.5,0.5
"157",0.5,0.5,0.5
"158",1,1,1
"159",0.5,0.5,0.5
"160",0.5,0.5,0.5
"161",1,1,1
"162",1,1,1
"163",0.5,0.5,0.5
"164",0.5,0.5,0.5
"165",0.5,0.5,0.5
"166",0.5,0.5,0.5
"167",1,1,1
"168",0.5,0.5,0.5
"169",0.5,0.5,0.5
"170",1,1,1
"171",0.5,0.5,0.5
"172",0.5,0.5,0.5
"173",0.5,0.5,0.5
"174",0.5,0.5,0.5
"175",0.5,0.5,0.5
"176",0.5,0.5,0.5
"177",0.5,0.5,0.5
"178",0.5,0.5,0.5
"179",0.5,0.5,0.5
"180",0.5,0.5,0.5
"181",1,1,1
"182",0.5,0.5,0.5
"183",0.5,0.5,0.5
"184",1,1,1
"185",0.5,0.5,0.5
"186",0.5,0.5,0.5
"187",0.5,0.5,0.5
"188",0.5,0.5,0.5
"189",0.5,0.5,0.5
"190",0,0.5,0
"191",0.5,0.5,0.5
"192",0.5,0.5,0.5
"193",0.5,0.5,0.5
"194",1,1,1
"195",0.5,0.5,0.5
"196",1,1,1
"197",1,1,1
"198",0.5,0.5,0.5
"199",1,1,1
"200",0.5,0.5,0.5
"201",0.5,0.5,0.5
"202",0.5,0.5,0.5
"203",0.5,0.5,0.5
"204",0.5,0.5,0.5
"205",0.5,0.5,0.5
"206",1,1,1
"207",0.5,0.5,0.5
"208",0.5,0.5,0.5
"209",1,1,1
"210",0.5,0.5,0.5
"211",0.5,0.5,0.5
"212",0.5,0.5,0.5
"213",0.5,0.5,0.5
"214",1,1,1
"215",0.5,0.5,0.5
